area,geom
0.0,GEOMETRYCOLLECTION EMPTY
148936.07444105696,"POLYGON((126.971786394784 37.5131395970001, 126.975004931393 37.5206007500464, 126.97216617552 37.5209099214781, 126.970746894466 37.5134586959475, 126.971786394784 37.5131395970001))"
207185.05149946606,"POLYGON((127.065113257172 37.5094583879157, 127.065714410413 37.5083351805432, 127.068853895914 37.5060659383921, 127.069386045159 37.5060949911937, 127.069367744039 37.5062471381494, 127.06933424594 37.5065239348471, 127.069293013874 37.5068657699639, 127.069265656217 37.5070921612889, 127.069248287702 37.5072337990474, 127.069231098551 37.507373742822, 127.069179004488 37.5077994939655, 127.069157942326 37.5079718217805, 127.069144783958 37.5080793903815, 127.06912847128 37.5082134230767, 127.069116894856 37.5083069081763, 127.069081638657 37.5085927156849, 127.06906268587 37.5087467339888, 127.069043911696 37.5088982293913, 127.069021286678 37.5090815321894, 127.069004264571 37.5092195116178, 127.06898093214 37.5094087343538, 127.068965309738 37.5095312248286, 127.06895391235 37.5096230159145, 127.06893583138 37.5097660595287, 127.068926005477 37.509844623074, 127.068916360008 37.5099226188863, 127.068899862272 37.5100529935656, 127.068888979951 37.5101391621218, 127.068882489603 37.5101915317719, 127.068874942398 37.5102509478207, 127.068871786687 37.5102760063477, 127.068868629961 37.5102999386288, 127.068867572352 37.5103061380914, 127.06883701301 37.5105218271662, 127.068815221717 37.5106774147324, 127.068814536194 37.5106823345664, 127.068746738716 37.511347984648, 127.068740089867 37.5114130223857, 127.068729573445 37.5115166430081, 127.068714671094 37.5116484222736, 127.068698531845 37.5117883742788, 127.06868643384 37.5118942482821, 127.068676792907 37.5119778752751, 127.068670126077 37.5120355969184, 127.068664861725 37.5120806497491, 127.06865925052 37.5121299284512, 127.068646984003 37.512237208095, 127.068632427464 37.512363923536, 127.068557480593 37.5130050802589, 127.064971752831 37.5126563860128, 127.065113257172 37.5094583879157))"
13592.689247455637,"POLYGON((127.068557378952 37.5130050703764, 127.06863237075 37.5123635293392, 127.068646927291 37.5122368138863, 127.068659193809 37.5121295342323, 127.068664805015 37.5120802555255, 127.068670069368 37.5120352026906, 127.068676736199 37.5119774810418, 127.068686377133 37.511893854041, 127.06869847514 37.5117879800276, 127.068714614391 37.5116480280093, 127.068729516744 37.5115162487313, 127.068740033168 37.5114126280992, 127.068746682018 37.5113475903553, 127.068814479505 37.5106819402109, 127.068815165027 37.5106770203764, 127.068836956323 37.5105214327955, 127.068867515668 37.5103057437004, 127.068868573278 37.5102995442372, 127.068871730004 37.5102756119539, 127.068874885716 37.5102505534245, 127.068882432921 37.5101911373701, 127.06888892327 37.510138767715, 127.068899805592 37.5100525991507, 127.068916303331 37.5099222244591, 127.068925948801 37.5098442286395, 127.068935774705 37.5097656650867, 127.068953855678 37.5096226214591, 127.068965253067 37.5095308303644, 127.068980875471 37.5094083398781, 127.069004207905 37.5092191171243, 127.069021230014 37.5090811376828, 127.069043855035 37.5088978348674, 127.069062629211 37.5087463394506, 127.069081582001 37.5085923211322, 127.069116838204 37.5083065135967, 127.06912841463 37.5082130284882, 127.069144727309 37.5080789957804, 127.069157885679 37.5079714271693, 127.069178947844 37.5077990993379, 127.069231041914 37.5073733481543, 127.069248231067 37.5072334043666, 127.069265599584 37.5070917665946, 127.069292957244 37.5068653752483, 127.069334189316 37.5065235400993, 127.069367687419 37.5062467433754, 127.069385941733 37.5060949855474, 127.069700669887 37.5061121670644, 127.068628703783 37.5130120052301, 127.068557378952 37.5130050703764))"
43085.234480238716,"POLYGON((126.815039642137 37.5588156502016, 126.816284195612 37.558783738574, 126.816486877065 37.5616212789161, 126.81474057971 37.5618660869565, 126.815039642137 37.5588156502016))"
145707.3337031,"POLYGON((126.903037475033 37.5118289339991, 126.907039358872 37.511327090045, 126.90721772012 37.5117737686474, 126.905796736717 37.5146420499603, 126.904453910212 37.515702176148, 126.902612826522 37.5153921391857, 126.90219577912 37.5152053890438, 126.902076936178 37.5145359071352, 126.903037475033 37.5118289339991))"
45205.67491428191,"POLYGON((126.926863403147 37.5569208389262, 126.928518398586 37.5581462782192, 126.926997771358 37.5587061787422, 126.926596912413 37.5588492364741, 126.926598311796 37.5592149850606, 126.926601091472 37.5594455770686, 126.926601252219 37.5594545870655, 126.926604047608 37.5594999266298, 126.926661311842 37.5604091153224, 126.926670238771 37.5605025986249, 126.926673120088 37.5606318383589, 126.926673292164 37.560640848361, 126.926681664047 37.5607461522866, 126.926684123549 37.5607652998678, 126.92669272643 37.560832041596, 126.926721237603 37.5609669197339, 126.926724238636 37.5609764991507, 126.926765504988 37.5610891489395, 126.926813485423 37.5612108128521, 126.926845250687 37.561272208331, 126.926849135973 37.5612803737503, 126.926950494606 37.5614327943149, 126.926047320188 37.5616590623286, 126.925447428628 37.5608316256939, 126.926863403147 37.5569208389262))"
84776.958715061686,"POLYGON((126.926950494606 37.5614327943149, 126.926849135973 37.5612803737503, 126.926845250687 37.561272208331, 126.926813485423 37.5612108128521, 126.926765504988 37.5610891489395, 126.926724238636 37.5609764991507, 126.926721237603 37.5609669197339, 126.92669272643 37.560832041596, 126.926684123549 37.5607652998678, 126.926681664047 37.5607461522866, 126.926673292164 37.560640848361, 126.926673120088 37.5606318383589, 126.926670238771 37.5605025986249, 126.926661311842 37.5604091153224, 126.926604047608 37.5594999266298, 126.926601252219 37.5594545870655, 126.926601091472 37.5594455770686, 126.926598311796 37.5592149850606, 126.926596912413 37.5588492364741, 126.926997771358 37.5587061787422, 126.928518398586 37.5581462782192, 126.930523790694 37.5596310833224, 126.929853521519 37.5607054568117, 126.926950494606 37.5614327943149))"
509785.10109440936,"POLYGON((126.910154578861 37.5315237304928, 126.912247760559 37.5320139059536, 126.915519122738 37.5373009559401, 126.91582270254 37.5378273466066, 126.916005480514 37.5389609589328, 126.911234147595 37.5412113556445, 126.909267026968 37.5412992789814, 126.907837432619 37.534083231316, 126.910154578861 37.5315237304928))"
229798.44959378184,"POLYGON((127.084502288136 37.5161731355932, 127.087511707317 37.5170090853659, 127.087060114882 37.5225410926903, 127.082377136182 37.5225485914553, 127.084502288136 37.5161731355932))"
